"","Package","Built"
"1","assertthat","3.3.2"
"2","backports","3.3.2"
"3","base","3.3.3"
"4","base64enc","3.3.0"
"5","BH","3.3.2"
"6","bindr","3.3.2"
"7","bindrcpp","3.3.2"
"8","bitops","3.3.0"
"9","boot","3.3.3"
"10","broom","3.3.2"
"11","caTools","3.3.0"
"12","cellranger","3.3.0"
"13","class","3.3.3"
"14","cli","3.3.2"
"15","clipr","3.3.2"
"16","clisymbols","3.3.2"
"17","cluster","3.3.3"
"18","codetools","3.3.3"
"19","colorspace","3.3.2"
"20","compiler","3.3.3"
"21","crayon","3.3.2"
"22","curl","3.3.2"
"23","datasets","3.3.3"
"24","desc","3.3.2"
"25","dichromat","3.3.0"
"26","digest","3.3.2"
"27","dplyr","3.3.2"
"28","enc","3.3.2"
"29","evaluate","3.3.2"
"30","forcats","3.3.2"
"31","foreign","3.3.3"
"32","fs","3.3.3"
"33","gapminder","3.3.0"
"34","ggplot2","3.3.2"
"35","gh","3.3.2"
"36","git2r","3.3.2"
"37","glue","3.3.2"
"38","graphics","3.3.3"
"39","grDevices","3.3.3"
"40","grid","3.3.3"
"41","gtable","3.3.0"
"42","haven","3.3.2"
"43","highr","3.3.0"
"44","hms","3.3.2"
"45","htmltools","3.3.2"
"46","httr","3.3.2"
"47","ini","3.3.2"
"48","jsonlite","3.3.2"
"49","KernSmooth","3.3.3"
"50","knitr","3.3.3"
"51","labeling","3.3.0"
"52","lattice","3.3.3"
"53","lazyeval","3.3.0"
"54","lubridate","3.3.0"
"55","magrittr","3.3.0"
"56","markdown","3.3.2"
"57","MASS","3.3.3"
"58","Matrix","3.3.3"
"59","methods","3.3.3"
"60","mgcv","3.3.3"
"61","mime","3.3.0"
"62","mnormt","3.3.0"
"63","modelr","3.3.2"
"64","munsell","3.3.0"
"65","nlme","3.3.3"
"66","nnet","3.3.3"
"67","parallel","3.3.3"
"68","pkgconfig","3.3.2"
"69","plogr","3.3.0"
"70","plyr","3.3.0"
"71","praise","3.3.0"
"72","psych","3.3.3"
"73","purrr","3.3.2"
"74","R6","3.3.2"
"75","RColorBrewer","3.3.0"
"76","Rcpp","3.3.2"
"77","readr","3.3.2"
"78","readxl","3.3.2"
"79","rematch","3.3.0"
"80","rematch2","3.3.2"
"81","reshape2","3.3.0"
"82","rlang","3.3.2"
"83","rmarkdown","3.3.2"
"84","rpart","3.3.3"
"85","rprojroot","3.3.2"
"86","rstudioapi","3.3.2"
"87","rvest","3.3.0"
"88","scales","3.3.2"
"89","selectr","3.3.2"
"90","spatial","3.3.3"
"91","splines","3.3.3"
"92","stats","3.3.3"
"93","stats4","3.3.3"
"94","stringi","3.3.2"
"95","stringr","3.3.2"
"96","styler","3.3.2"
"97","survival","3.3.3"
"98","tcltk","3.3.3"
"99","testthat","3.3.0"
"100","tibble","3.3.2"
"101","tidyr","3.3.2"
"102","tidyselect","3.3.2"
"103","tidyverse","3.3.2"
"104","tools","3.3.3"
"105","usethis","3.3.3"
"106","utils","3.3.3"
"107","viridisLite","3.3.2"
"108","whisker","3.3.0"
"109","withr","3.3.2"
"110","xml2","3.3.2"
"111","yaml","3.3.2"
