"","X","Package","LibPath","Version","Priority","Built"
"1",1,"assertthat","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.2.0",NA,"3.3.2"
"2",2,"backports","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.1.2",NA,"3.3.2"
"3",3,"base","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"4",4,"base64enc","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.1-3",NA,"3.3.0"
"5",5,"BH","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.65.0-1",NA,"3.3.2"
"6",6,"bindr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.1",NA,"3.3.2"
"7",7,"bindrcpp","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.2",NA,"3.3.2"
"8",8,"bitops","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.0-6",NA,"3.3.0"
"9",9,"boot","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.3-18","recommended","3.3.3"
"10",10,"broom","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.4.2",NA,"3.3.2"
"11",11,"caTools","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.17.1",NA,"3.3.0"
"12",12,"cellranger","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.1.0",NA,"3.3.0"
"13",13,"class","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","7.3-14","recommended","3.3.3"
"14",14,"cli","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.0.0",NA,"3.3.2"
"15",15,"clipr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.4.0",NA,"3.3.2"
"16",16,"clisymbols","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.2.0",NA,"3.3.2"
"17",17,"cluster","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","2.0.5","recommended","3.3.3"
"18",18,"codetools","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.2-15","recommended","3.3.3"
"19",19,"colorspace","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.3-2",NA,"3.3.2"
"20",20,"compiler","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"21",21,"crayon","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.3.4",NA,"3.3.2"
"22",22,"curl","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.0",NA,"3.3.2"
"23",23,"datasets","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"24",24,"desc","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.1.1",NA,"3.3.2"
"25",25,"dichromat","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","2.0-0",NA,"3.3.0"
"26",26,"digest","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.6.12",NA,"3.3.2"
"27",27,"dplyr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.7.4",NA,"3.3.2"
"28",28,"enc","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.1",NA,"3.3.2"
"29",29,"evaluate","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.10.1",NA,"3.3.2"
"30",30,"forcats","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.2.0",NA,"3.3.2"
"31",31,"foreign","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.8-67","recommended","3.3.3"
"32",32,"fs","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.1.0",NA,"3.3.3"
"33",33,"gapminder","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.2.0",NA,"3.3.0"
"34",34,"ggplot2","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","2.2.1",NA,"3.3.2"
"35",35,"gh","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.0.1",NA,"3.3.2"
"36",36,"git2r","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.21.0",NA,"3.3.2"
"37",37,"glue","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.1.1",NA,"3.3.2"
"38",38,"graphics","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"39",39,"grDevices","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"40",40,"grid","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"41",41,"gtable","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.2.0",NA,"3.3.0"
"42",42,"haven","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.1.0",NA,"3.3.2"
"43",43,"highr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.6",NA,"3.3.0"
"44",44,"hms","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.3",NA,"3.3.2"
"45",45,"htmltools","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.3.6",NA,"3.3.2"
"46",46,"httr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.3.1",NA,"3.3.2"
"47",47,"ini","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.3.0",NA,"3.3.2"
"48",48,"jsonlite","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.5",NA,"3.3.2"
"49",49,"KernSmooth","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","2.23-15","recommended","3.3.3"
"50",50,"knitr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.19",NA,"3.3.3"
"51",51,"labeling","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.3",NA,"3.3.0"
"52",52,"lattice","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.20-34","recommended","3.3.3"
"53",53,"lazyeval","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.2.0",NA,"3.3.0"
"54",54,"lubridate","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.6.0",NA,"3.3.0"
"55",55,"magrittr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.5",NA,"3.3.0"
"56",56,"markdown","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.8",NA,"3.3.2"
"57",57,"MASS","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","7.3-45","recommended","3.3.3"
"58",58,"Matrix","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.2-8","recommended","3.3.3"
"59",59,"methods","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"60",60,"mgcv","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.8-17","recommended","3.3.3"
"61",61,"mime","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.5",NA,"3.3.0"
"62",62,"mnormt","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.5-5",NA,"3.3.0"
"63",63,"modelr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.1.1",NA,"3.3.2"
"64",64,"munsell","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.4.3",NA,"3.3.0"
"65",65,"nlme","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.1-131","recommended","3.3.3"
"66",66,"nnet","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","7.3-12","recommended","3.3.3"
"67",67,"parallel","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"68",68,"pkgconfig","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","2.0.1",NA,"3.3.2"
